Country Name,Country Code,Indicator Name,Surface Area,
South Sudan,SSD,Surface area (sq. km),644330,
Sub-Saharan Africa,SSF,Surface area (sq. km),24291143.5,
Small states,SST,Surface area (sq. km),2572966,
Sao Tome and Principe,STP,Surface area (sq. km),960,
Suriname,SUR,Surface area (sq. km),163820,
Slovak Republic,SVK,Surface area (sq. km),49035,
Slovenia,SVN,Surface area (sq. km),20270,
Sweden,SWE,Surface area (sq. km),447420,
Swaziland,SWZ,Surface area (sq. km),17360,
Sint Maarten (Dutch part),SXM,Surface area (sq. km),34,
Seychelles,SYC,Surface area (sq. km),460,
Syrian Arab Republic,SYR,Surface area (sq. km),185180,
Turks and Caicos Islands,TCA,Surface area (sq. km),950,
Chad,TCD,Surface area (sq. km),1284000,
East Asia & Pacific (IDA & IBRD countries),TEA,Surface area (sq. km),16150139,
Europe & Central Asia (IDA & IBRD countries),TEC,Surface area (sq. km),23853754,
Togo,TGO,Surface area (sq. km),56790,
Thailand,THA,Surface area (sq. km),513120,
Tajikistan,TJK,Surface area (sq. km),141376,
Turkmenistan,TKM,Surface area (sq. km),488100,
Latin America & the Caribbean (IDA & IBRD countries),TLA,Surface area (sq. km),20289997,
Timor-Leste,TLS,Surface area (sq. km),14870,
Middle East & North Africa (IDA & IBRD countries),TMN,Surface area (sq. km),8769210,
Tonga,TON,Surface area (sq. km),750,
South Asia (IDA & IBRD),TSA,Surface area (sq. km),5135333,
Sub-Saharan Africa (IDA & IBRD countries),TSS,Surface area (sq. km),24291143.5,
Trinidad and Tobago,TTO,Surface area (sq. km),5130,
Tunisia,TUN,Surface area (sq. km),163610,
Turkey,TUR,Surface area (sq. km),785350,
Tuvalu,TUV,Surface area (sq. km),30,
Tanzania,TZA,Surface area (sq. km),947300,
Uganda,UGA,Surface area (sq. km),241550,
Ukraine,UKR,Surface area (sq. km),603550,
Upper middle income,UMC,Surface area (sq. km),59651454,
Uruguay,URY,Surface area (sq. km),176220,
United States,USA,Surface area (sq. km),9831510,
Uzbekistan,UZB,Surface area (sq. km),447400,
St. Vincent and the Grenadines,VCT,Surface area (sq. km),390,
"Venezuela, RB",VEN,Surface area (sq. km),912050,
British Virgin Islands,VGB,Surface area (sq. km),150,
Virgin Islands (U.S.),VIR,Surface area (sq. km),350,
Vietnam,VNM,Surface area (sq. km),330967,
Vanuatu,VUT,Surface area (sq. km),12190,
World,WLD,Surface area (sq. km),134325130.2,
Samoa,WSM,Surface area (sq. km),2840,
Kosovo,XKX,Surface area (sq. km),10887,
"Yemen, Rep.",YEM,Surface area (sq. km),527970,
South Africa,ZAF,Surface area (sq. km),1219090,
Zambia,ZMB,Surface area (sq. km),752610,
Zimbabwe,ZWE,Surface area (sq. km),390760,
